Contest ID,Entry ID,PG,SG,G,SF,PF,F,C,UTIL," ",Instructions,ID,First Name,Last Name,ID + Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5892$nba.g.2374010,Maxi,Kleber,nba.p.5892$nba.g.2374010 - Maxi Kleber,PF,DAL,SA,SA@DAL,8:30PM EDT,10,12.7," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6014$nba.g.2374010,Luka,Doncic,nba.p.6014$nba.g.2374010 - Luka Doncic,PG,DAL,SA,SA@DAL,8:30PM EDT,52,50.6," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6044$nba.g.2374010,Jalen,Brunson,nba.p.6044$nba.g.2374010 - Jalen Brunson,PG,DAL,SA,SA@DAL,8:30PM EDT,11,26.2," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6289$nba.g.2374010,Moses,Brown,nba.p.6289$nba.g.2374010 - Moses Brown,C,DAL,SA,SA@DAL,8:30PM EDT,10,9.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6410$nba.g.2374010,Josh,Green,nba.p.6410$nba.g.2374010 - Josh Green,SF,DAL,SA,SA@DAL,8:30PM EDT,10,1.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6620$nba.g.2374010,Eugene,Omoruyi,nba.p.6620$nba.g.2374010 - Eugene Omoruyi,SG,DAL,SA,SA@DAL,8:30PM EDT,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6635$nba.g.2374010,JaQuori,McLaughlin,nba.p.6635$nba.g.2374010 - JaQuori McLaughlin,SG,DAL,SA,SA@DAL,8:30PM EDT,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5163$nba.g.2374075,Steven,Adams,nba.p.5163$nba.g.2374075 - Steven Adams,C,MEM,GS,MEM@GS,10:00PM EDT,17,31.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5341$nba.g.2374075,Kyle,Anderson,nba.p.5341$nba.g.2374075 - Kyle Anderson,SF,MEM,GS,MEM@GS,10:00PM EDT,20,19.1," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5484$nba.g.2374075,Tyus,Jones,nba.p.5484$nba.g.2374075 - Tyus Jones,PG,MEM,GS,MEM@GS,10:00PM EDT,10,11.7," "," "
